Yang,M200c,R200c,M200m,R200m,fo_quenching,fo_quenching_err,fi_quenching,fi_quenching_err,fn_quenching,fn_quenching_err,ff_quenching,ff_quenching_err,qf1_quenching,qf1_quenching_err,qf2_quenching,qf2_quenching_err,qf3_quenching,qf3_quenching_err,qf4_quenching,qf4_quenching_err,fo_sf,fo_sf_err,fi_sf,fi_sf_err,fn_sf,fn_sf_err,ff_sf,ff_sf_err,qf1_sf,qf1_sf_err,qf2_sf,qf2_sf_err,qf3_sf,qf3_sf_err,qf4_sf,qf4_sf_err,fo_bt,fo_bt_err,fi_bt,fi_bt_err,fn_bt,fn_bt_err,ff_bt,ff_bt_err,qf1_bt,qf1_bt_err,qf2_bt,qf2_bt_err,qf3_bt,qf3_bt_err,qf4_bt,qf4_bt_err
0,15.138044357299805,2269.838134765625,15.26395034790039,3474.42578125,0.9168552036199096,0.11147023218193018,0.7911600248513356,0.07930128335110197,0.6106317840244919,0.06754350607223261,0.4963743594701731,0.0847425509048388,0.6018731743244886,0.6937729275641732,0.7864622920702896,0.36147348448593425,0.4636440095002496,0.27935713281539665,0.5853269604602349,0.2506138028282294,0.0831447963800905,0.025233335080405414,0.20883997514866426,0.03347126098155756,0.3893682159755079,0.05009388246318536,0.503625640529827,0.08556585848649535,-0.15887453210517397,0.05340652002570039,-0.5014862108506539,0.1006481349558709,-0.29564173623101603,0.1016009069873081,-0.5938777049157316,0.21152499183908152,0.8231052036199096,0.10300241644747012,0.7107925801011804,0.07346000872941276,0.7144911401799795,0.07538098559319686,0.7073382964323698,0.10805630483799679,0.3883462725749644,0.44843536861179034,0.3804227424269719,0.45820303058737794,-0.012954274277619965,0.3686742725864884,0.011802991736540553,0.4464818762201231
1,15.05978012084961,2137.57958984375,15.192752838134766,3289.575439453125,0.895769179274334,0.10662144348792627,0.6196932135110009,0.08818105097298622,0.4956488354235987,0.068873183869297,0.45215211032177177,0.08282224284209198,0.7259296325266048,0.4008668098750847,0.79333680965482,0.2740003416950002,0.24594843196522734,0.22437769389618564,0.30581682679773103,0.2256100044436606,0.1042308207256661,0.027757590906099014,0.3803067864889991,0.06377131423773309,0.5043511645764013,0.06967699682359246,0.5478478896782282,0.0941223556131265,-0.4455042587914868,0.1212363126499582,-0.8072657802348682,0.1891473715280678,-0.2502666590175472,0.19378786117101393,-0.37054146019577183,0.26301054386986245,0.8112866514928371,0.09918238086072301,0.7408583823985126,0.0999585253770185,0.7250447914000512,0.08946041399246762,0.7024655244463017,0.11177645263825277,0.27177521598491483,0.5534097351162433,0.31365785188039513,0.4963835004209091,0.05751333491365041,0.4882380830623011,0.1290366700556752,0.506308805458933
2,14.993892669677734,2032.17626953125,15.104423522949219,3073.919677734375,0.8753454098863986,0.12961666865949323,0.6424635018853331,0.10100638520834769,0.6118086783857969,0.07588826630543435,0.5745833759329312,0.09617622498969208,0.6513514262993567,0.49507158272113305,0.6788836247156317,0.40904669054771164,0.07896833801452657,0.32581914599798323,0.15956152654180314,0.3298242290005383,0.12465459011360149,0.03787862405414627,0.35753649811466687,0.06850348738535106,0.38819132161420306,0.05609932587428991,0.4254166240670688,0.07873838530197258,-0.36248270495937085,0.1278244563347068,-0.43075023420053454,0.11747778947614365,-0.050105244633692064,0.14479624862040213,-0.11813799144847749,0.18235937818999787,0.7678845563401904,0.11787057668298268,0.6196461374842889,0.09850509133776182,0.656076622087251,0.07965766369170196,0.6361312749207647,0.1031551261847606,0.3897381713844914,0.4162886945893272,0.3250954760083342,0.4204452706804465,-0.10592616536874191,0.3691628906290094,-0.04530517821471485,0.3922012134540734
3,14.826947212219238,1787.660400390625,15.00108814239502,2839.5458984375,0.8378702482312028,0.1358904130148401,0.5970357941834452,0.0942753436887162,0.5414646174077422,0.0828247368362956,0.5093754842708819,0.10915328923394978,0.5976571878381549,0.43359862032175644,0.6464182309068014,0.3661801473287781,0.12119277788671418,0.2745501565837602,0.17867087172007942,0.2966474944736573,0.1621297517687972,0.04753370511879938,0.40296420581655484,0.07259340110733123,0.45853538259225773,0.0741400976985124,0.4906245157291182,0.10645790472595279,-0.4033836101521224,0.15338978480136875,-0.54741458868079,0.17909023265814292,-0.10263122462507242,0.19214669609201207,-0.17209369633884128,0.25550680378717766,0.7720350161889914,0.12808481904217559,0.743661446681581,0.10994091099401837,0.6839812607873756,0.09729689311573526,0.6286998295366496,0.1259683264604863,0.11068787406381789,0.6602048908957231,0.27863460129296713,0.5161645426895302,0.1888501487060588,0.46819100635604305,0.30961907989826465,0.4623922631413598
4,14.61711311340332,1521.7880859375,14.750040054321289,2341.92822265625,0.9618438464931627,0.20400637596690815,0.7865331241703873,0.13021630648062973,0.7196788111217641,0.12178838665099277,0.6577033281904342,0.1550186778743908,0.8212549213616954,1.0,0.8638841620944632,0.9269611024009166,0.23849182901997096,0.6444187778810876,0.37636882444368797,0.6155245599202762,0.03815615350683724,0.0295578442218277,0.21346687582961266,0.05590884622659939,0.28032118887823587,0.06558435838146812,0.34229667180956586,0.10063317932077454,-0.22289045042786743,0.08195127488838047,-0.33649043382830146,0.10455527771678112,-0.09289465246922766,0.12004764441963492,-0.1958782789413699,0.17758215491781743,0.8850904278782532,0.19183116002942516,0.754434656691203,0.12638069565313922,0.8166347075743049,0.13334003657900884,0.8276394093013005,0.1825918728228711,0.5320611183425477,0.9747268511549081,0.3733297583112057,1.0,-0.3392138722670602,1.0,-0.42471862224042534,1.0
5,14.865218162536621,1841.031494140625,15.012251853942871,2864.049072265625,0.845822875582646,0.1365997290623728,0.6076020122973728,0.09539334418340036,0.5329416297437872,0.08870786287771495,0.3860595597755718,0.10745832754865985,0.6070899208224413,0.44951653682215154,0.6698975240872409,0.3712126520580624,0.1598523595940039,0.28055282485769334,0.36085333039930595,0.24242008970623813,0.15417712441735387,0.046117027035187094,0.3923979877026272,0.0713451211098346,0.4670583702562126,0.08123978410350752,0.6139404402244281,0.1462274313823857,-0.3920672717730947,0.14720005997564642,-0.5870835160489843,0.19680918001063302,-0.140091106392793,0.20399565787750734,-0.5738556316299749,0.4741973931403963,0.8000478068602844,0.13119434083744735,0.7356064840693125,0.10906053113492854,0.7923328838374109,0.11695604186549576,0.7893828226154509,0.1745892292471877,0.24373261410792554,0.6530555430700596,0.03715043173630494,0.8466006663782946,-0.27316024229703006,0.7852729111345802,-0.25532741067910364,1.0
6,14.616884231567383,1521.52392578125,14.728866577148438,2304.208984375,0.8987724903312594,0.16939959898125911,0.6585296216987866,0.1248662875924495,0.5467189278037679,0.10340152953669055,0.5331436699857752,0.15249334162603265,0.7035540529976889,0.667838529225281,0.7766782778326166,0.4723284117032415,0.24666967308666757,0.3620620704793644,0.26857502758758983,0.4311899086146975,0.10122750966874056,0.043295105275617876,0.34147037830121346,0.08086544561391555,0.45328107219623215,0.09126364455727952,0.46685633001422466,0.13957985404064455,-0.36481710270333245,0.1463161546296076,-0.6439388589338416,0.21375538326051324,-0.20451220583156865,0.22562916770896344,-0.2351822947018326,0.3087700518565571,0.8553892719017993,0.163361776248066,0.7450392576730906,0.13623481486591252,0.7411809331141738,0.1277389316475042,0.7732574679943099,0.19750827156224735,0.4328117859306292,0.8657590637612057,0.44126709891125065,0.830305562467737,0.01490742009598125,0.7216005606905931,-0.12445045078931713,1.0
7,14.76594066619873,1705.9473876953125,14.914375305175781,2656.730224609375,0.9372257846776916,0.1750376230925499,0.6592825676526117,0.11734079253835604,0.5214515707945349,0.08309160370518402,0.44,0.10068564790693066,0.8157587215604949,0.6793056229190035,0.8688236937136486,0.4320786407051971,0.28801890978289896,0.30458660376854785,0.39157601366537803,0.28493687448767957,0.06277421532230847,0.03355291620407203,0.3407174323473882,0.07582612243390732,0.47854842920546514,0.0784696668939302,0.56,0.11822689907004419,-0.4215843564842036,0.13479307689566847,-0.7973400353356731,0.20293392035746546,-0.2643217598291325,0.213007983298847,-0.4983694719377542,0.34616290052029275,0.7909213634829565,0.154605195386602,0.6950283196979232,0.12177069239212054,0.710382038116787,0.10282853176745219,0.68448,0.13582299345273138,0.31443261777634723,0.6574106243605184,0.2780881573866146,0.6486732581609144,-0.053013695418017974,0.5506310681409373,0.03343154062475674,0.5783264937508082
8,14.768656730651855,1709.50390625,14.904153823852539,2636.046142578125,0.888264230498946,0.15353769436704193,0.6712077146793202,0.13103501183293842,0.5856225228918958,0.11265286905382496,0.5042058386937159,0.13698070807554674,0.6601630436916269,0.667918699042891,0.7303526960952466,0.5006210914493715,0.206539197990958,0.4207812859978229,0.33683711713264086,0.39350385391969467,0.11173576950105411,0.04178394340302586,0.32879228532067956,0.08177734770312907,0.41437747710810446,0.08949817993962832,0.49579416130628395,0.1354529466779194,-0.3233820337171295,0.14237860795747842,-0.5167863184505922,0.18623648621566877,-0.146143955264548,0.2082170656071753,-0.3312176559047168,0.32618088559743635,0.8791286015460296,0.15237615155490816,0.7670289300474512,0.14403610516382934,0.738827388273883,0.13250528427040065,0.7135081642751113,0.1739179474209232,0.48117421412628897,0.9479091372651978,0.5371972671440595,0.8198013335969516,0.1079804715631602,0.751367112763877,0.18681427914663024,0.7963352265500556
9,14.709993362426758,1634.241455078125,14.86382007598877,2555.649169921875,0.8753788337980362,0.14107234031235955,0.7701815372730784,0.10262529672636196,0.7337392933618844,0.0922633784718063,0.76,0.11727847832588856,0.4577408415178415,0.7861233609707434,0.5319581031107947,0.6593697445525594,0.13686677381474818,0.5204609272170376,0.04242307197115982,0.6496653351773125,0.12462116620196385,0.04121908635385619,0.2298184627269216,0.04672635759858643,0.2662607066381156,0.04749869429144006,0.24000000000000005,0.055318659870060086,-0.13658766334158257,0.08132452005030343,-0.1930379655520156,0.08661766427677307,-0.049666474510614005,0.09086491901963852,-0.013396759569840051,0.09528401777832986,0.7771851133470723,0.1293981046653054,0.7568173039783701,0.10134627657028424,0.7651231263383298,0.09506479934545739,0.7747043701799486,0.11890119096273523,0.0837551754376906,0.6767802701002761,0.05135451107083988,0.683930290613804,-0.03536245280548081,0.5917792913508882,-0.07939375573270258,0.6947197814929724
