HaloID,M200c,R200c,fo_quenching,fo_quenching_err,fi_quenching,fi_quenching_err,fn_quenching,fn_quenching_err,qf1_quenching,qf1_quenching_err,qf2_quenching,qf2_quenching_err,qf3_quenching,qf3_quenching_err,fo_sf,fo_sf_err,fi_sf,fi_sf_err,fn_sf,fn_sf_err,qf1_sf,qf1_sf_err,qf2_sf,qf2_sf_err,qf3_sf,qf3_sf_err,fo_bulge,fo_bulge_err,fi_bulge,fi_bulge_err,fn_bulge,fn_bulge_err,qf1_bulge,qf1_bulge_err,qf2_bulge,qf2_bulge_err,qf3_bulge,qf3_bulge_err
0,15.186332702636719,2432.72216796875,0.9235887622858138,0.08789985752436713,0.873545516769336,0.11833270447743592,0.7752378030070575,0.14530767632387487,0.3957411729340946,1.0,0.660035189473675,0.8677442818658045,0.4373854459402947,0.8803943746324269,0.07641123771418631,0.018913001358172053,0.12645448323066394,0.034910319601443,0.22476219699294261,0.06498757476455067,-0.05728750769800103,0.04550952805759736,-0.19136187464455445,0.08876855998812645,-0.126809752286272,0.09575072093781326,0.6276673808414532,0.06665616832535219,0.613797481779904,0.09205915067572437,0.6076007448359624,0.12241681202408794,0.03591353864151865,0.2944184767484021,0.05113831318844438,0.35557705463171213,0.01579191821185073,0.3903709404581881
1,15.116388320922852,2305.65966796875,0.8812839673913043,0.09688143937557543,0.7512535816618912,0.15349530162805924,0.5156882591093118,0.1406339219085869,0.5227427457977273,0.7978272143042153,0.7548768229521602,0.4151920860451872,0.48639193036979816,0.45245532801237875,0.11871603260869563,0.027420166075721845,0.24874641833810887,0.0745835116774704,0.48431174089068835,0.134870380494863,-0.1730845468207493,0.10716220553573338,-0.7089471242053167,0.3249709545502131,-0.4567979169419991,0.3218550885512641,0.6337076975629073,0.07655739355858729,0.6230136505686602,0.13456656213079043,0.6167279703647065,0.1588388825476321,0.028367199529580948,0.4108024850473882,0.04430202541614654,0.460420411216624,0.016400049359028123,0.5432016181771347
2,15.014232635498047,2131.685302734375,0.9116508851379169,0.11978979140397483,0.7703792176769185,0.14269634694272954,0.7694395966647277,0.16248249014172295,0.615239030334049,0.8969552234415622,0.6168070770868269,0.9775132389306272,0.004075378940174927,0.937923892722859,0.08834911486208318,0.028137560207833544,0.22962078232308153,0.06492599437748497,0.23056040333527245,0.07417289814393697,-0.18337938539801685,0.09314318134013559,-0.18482449966135003,0.10462988725537781,-0.0012211757963378417,0.12811259621449755,0.6221531001355146,0.09115821093762573,0.6064454548425252,0.1206024939317808,0.6121715823700781,0.1383386846160751,0.039912244659007126,0.384329419014408,0.025736942708930684,0.42727878614407033,-0.014764589873393215,0.47324906844992204
3,14.954083442687988,2035.5552978515625,0.8523837851618935,0.11583777216206635,0.6822147651006711,0.1387644258317593,0.6328106716592558,0.15550285214218923,0.5354843503510482,0.6149950337587589,0.5979833741215876,0.585663994209508,0.13454664835893432,0.5704476402333151,0.14761621483810658,0.037943071355269684,0.3177852348993289,0.08382354748634037,0.36718932834074414,0.10839091872527917,-0.2494361435230903,0.13830974669545423,-0.34698073742484103,0.19096047486393627,-0.07807089174377485,0.21694146068437806,0.6275342985048954,0.09316460122031334,0.6150797018104353,0.12910395363173835,0.6025053334364214,0.15031895088920413,0.03235630013028444,0.41375758428076853,0.0629667947116232,0.4455448881883825,0.03163405557795723,0.49864201656064056
4,14.925219535827637,1990.9473876953125,0.8459781056639695,0.1219255726265093,0.6957796014067996,0.13149251632409095,0.6044172746992703,0.13828666005669812,0.4937160852846471,0.626884708000612,0.610645550260214,0.5126116609638869,0.23095631043563364,0.4890948271915871,0.15402189433603045,0.041133930903147195,0.30422039859320044,0.07625180734150412,0.39558272530072963,0.10433971289149253,-0.21587080729800504,0.12674837250832918,-0.3996590452926556,0.19797011563052125,-0.15115770268642104,0.2154002556293621,0.6222327510265225,0.09802457871419719,0.6097014047511301,0.11992555743452576,0.623838809880187,0.1413386184733202,0.03210707501368778,0.3969729853657056,-0.004269602755012924,0.45726459822300863,-0.03758336984353423,0.49297275246193595
5,14.865416526794434,1901.6170654296875,0.9441769830353051,0.14505635897580746,0.8325501922255447,0.18051672347702943,0.7748747315676449,0.221863772224101,0.6666283604225742,1.0,0.752035756121848,1.0,0.2561927457522609,1.0,0.05582301696469509,0.025992278040988345,0.16744980777445537,0.06461683865775515,0.22512526843235503,0.09935486555645735,-0.13407815150623337,0.084301736580253,-0.2184898339956775,0.13546414033715656,-0.07443198017467513,0.15324976949786273,0.6547468615481591,0.11144091364406165,0.6042996003597112,0.14389747719361545,0.6357523765943306,0.1929254690361413,0.12748852726534252,0.4622853970031792,0.052147176078274585,0.6122918350237392,-0.08634998340013834,0.6623394284065605
6,14.66208267211914,1626.8896484375,0.9258055781207688,0.1553679594892696,0.7869924956705793,0.16450166451588197,0.6381490449287058,0.16770325030172395,0.6516816526591105,1.0,0.7949586125463923,0.7313650111497888,0.41133911257066424,0.6766163396076258,0.07419442187923096,0.032849017554350976,0.21300750432942084,0.07051034189892831,0.36185095507129406,0.11514189095764676,-0.17638425170993563,0.1000957890782079,-0.45076700416311066,0.2044994690367583,-0.2332424563269573,0.21571951630126848,0.6338765562035029,0.11841516103052126,0.6365213955078113,0.14157643844926251,0.609363511183524,0.16243103402332307,-0.007276464891251129,0.5077953595625021,0.0627515496420901,0.5152377723336026,0.0695221391288058,0.5523463979426491
7,14.764341354370117,1759.701904296875,0.9251451267949894,0.134679978254703,0.8411126826968411,0.1560042070004965,0.7239392352016762,0.18079818455877225,0.5288807535079302,1.0,0.728846389092286,0.9459303151290016,0.42444802897204886,0.9085938215030702,0.0748548732050107,0.028625382383684665,0.15888731730315883,0.053794049786189145,0.27606076479832375,0.09605501447587568,-0.09990628583641938,0.07272827489988483,-0.27793201667990924,0.1432774006290833,-0.16185536271220682,0.15358315309909112,0.6302259671570009,0.10229123380304973,0.6140289781949659,0.12480130633708593,0.6107198394969181,0.16051404833934163,0.04196426168547058,0.4182971621769469,0.05010819877096799,0.48938296492305844,0.008500661050312202,0.5223160910362055
8,14.600157737731934,1551.316162109375,0.9116997792494481,0.17203427786351977,0.7442061570390868,0.14983265970366313,0.7080781568970544,0.18780654260420482,0.654799272224685,0.9708481313870263,0.6975210220243333,0.9811016864414698,0.12375915333369511,0.826844191567292,0.08830022075055187,0.0403956348175158,0.2557938429609131,0.07453584200823568,0.29192184310294544,0.10487395730788018,-0.2250634728376269,0.11612679370187509,-0.2875694164111851,0.16433361227517107,-0.05102261634556377,0.18186425918073787,0.6408557483594157,0.13362710555346427,0.6166996433824867,0.13131443549558536,0.61232922848118,0.1696819346635905,0.0630213475147737,0.4892554387971518,0.07358439679750496,0.5580571927034595,0.011273521819001958,0.5534779835816931
9,14.807001113891602,1818.2120361328125,0.925512556108213,0.1470353238181596,0.7609637249593937,0.19046217069415788,0.6609087495306046,0.2030289849044277,0.6883843513745627,1.0,0.7803321560533458,0.8745350616254844,0.29506799509065923,0.8397596659374967,0.07448744389178696,0.03116014895368421,0.23903627504060634,0.08954172369213799,0.3390912504693954,0.1305803339343138,-0.2162374180945353,0.12716185043796158,-0.4003636005205519,0.217983382286969,-0.15138999975390077,0.24142680020403973,0.6616615633037666,0.11549058655095781,0.6079090957269004,0.16266780743105447,0.6576283750636069,0.20232440135999155,0.1370918503618906,0.5119709050285846,0.011780147495894072,0.6804838669552195,-0.14522021019102713,0.7631027418953952
10,14.803357124328613,1813.20458984375,0.9298271315558159,0.16213514558054526,0.7989130434782611,0.1842816134043487,0.5931433292028088,0.13969949975783627,0.6510322217910839,1.0,0.8275243507580002,0.5978645160869683,0.5057548002648428,0.5943143553530263,0.070172868444184,0.03316869603316722,0.2010869565217391,0.07554510414577321,0.40685667079719123,0.108725958738639,-0.1638652531038785,0.10442867725248088,-0.5676263826578206,0.2180683127204354,-0.3469139820758145,0.23209052126964938,0.6211311950141907,0.12145561733049842,0.6255159839673474,0.15500367375448282,0.6233408596493211,0.14456236984393495,-0.011708881462044627,0.5258666814305764,-0.005866483508333664,0.501284283302972,0.005774781719092922,0.5627248392664859
11,14.73825454711914,1724.8128662109375,0.8999064546304959,0.16326771367399082,0.8100283822138128,0.16655984579200267,0.7557805274340708,0.1287836781723212,0.4731131600818431,1.0,0.5901492034281461,0.9065603505799303,0.22212747497068375,0.8700177577609408,0.10009354536950422,0.04143366359691327,0.18997161778618732,0.06540186720275992,0.24421947256592927,0.061626357188242095,-0.11095669533337307,0.09599819132516971,-0.19069812196107105,0.09947890299306583,-0.07177725915209449,0.11904380023431237,0.646479423778404,0.1288222928955703,0.6138833899097778,0.1369167291951113,0.63235766665538,0.11358393672908389,0.08442018037247767,0.487800853531949,0.03841167309148416,0.46730429539450874,-0.05025067863521803,0.4841362629489687
