HaloID,M200c,R200c
0,15.186332702636719,2432.72216796875
1,15.116388320922852,2305.65966796875
2,15.014232635498047,2131.685302734375
3,14.954083442687988,2035.5552978515625
4,14.925219535827637,1990.9473876953125
5,14.865416526794434,1901.6170654296875
6,14.66208267211914,1626.8896484375
7,14.764341354370117,1759.701904296875
8,14.600157737731934,1551.316162109375
9,14.807001113891602,1818.2120361328125
10,14.803357124328613,1813.20458984375
11,14.73825454711914,1724.8128662109375
12,14.816362380981445,1831.341552734375
13,14.743413925170898,1731.59033203125
14,14.640763282775879,1600.448486328125
15,14.696632385253906,1670.5953369140625
16,14.578873634338379,1526.2227783203125
17,14.619783401489258,1574.8843994140625
18,14.609760284423828,1562.824951171875
19,14.669662475585938,1636.29541015625
20,14.634766578674316,1593.1234130859375
21,14.582229614257812,1530.158203125
22,14.55673599243164,1500.4893798828125
23,14.593536376953125,1543.46142578125
24,14.56509780883789,1510.139404296875
25,14.342239379882812,1272.726806640625
26,14.444633483886719,1376.7857666015625
27,14.659065246582031,1623.113525390625
28,14.673038482666016,1640.6192626953125
29,14.327077865600586,1258.00341796875
30,14.590314865112305,1539.6312255859375
31,14.591262817382812,1540.83203125
32,14.591503143310547,1541.0301513671875
33,14.567721366882324,1513.142822265625
34,14.565642356872559,1510.748291015625
35,14.581185340881348,1528.944580078125
36,14.573113441467285,1519.4600830078125
37,14.295934677124023,1228.2939453125
38,14.107420921325684,1062.806396484375
39,14.523920059204102,1463.1719970703125
40,14.371193885803223,1301.3050537109375
41,14.552986145019531,1496.171875
42,14.298588752746582,1230.772216796875
43,14.535776138305664,1476.5484619140625
44,14.52180004119873,1460.759765625
45,14.485640525817871,1420.81982421875
46,14.246538162231445,1182.5810546875
47,14.262792587280273,1197.4163818359375
48,14.510747909545898,1448.447265625
49,14.510597229003906,1448.276611328125
50,14.52918815612793,1469.1153564453125
51,14.499889373779297,1436.4351806640625
52,14.440366744995117,1372.2662353515625
53,14.265361785888672,1199.7969970703125
54,14.497274398803711,1433.566650390625
55,14.385551452636719,1315.7403564453125
56,14.471538543701172,1405.4901123046875
57,14.478734016418457,1413.30712890625
58,14.445929527282715,1378.140380859375
59,14.329561233520508,1260.42431640625
60,14.463143348693848,1396.4622802734375
61,14.407773971557617,1338.4049072265625
62,14.241483688354492,1178.017578125
63,14.45062255859375,1383.081787109375
64,14.446846008300781,1379.1658935546875
65,14.357734680175781,1287.95068359375
66,14.386338233947754,1316.55859375
67,14.445369720458984,1377.5916748046875
68,14.442155838012695,1374.1556396484375
69,14.4302978515625,1361.75048828125
70,14.412579536437988,1343.3756103515625
71,14.441102981567383,1373.0201416015625
72,14.4395751953125,1371.488037109375
73,14.313304901123047,1244.7606201171875
74,14.313581466674805,1245.0467529296875
75,14.129137992858887,1080.70849609375
76,14.372989654541016,1303.1275634765625
77,14.363405227661133,1293.582763671875
78,14.416023254394531,1346.8365478515625
79,14.404651641845703,1335.1268310546875
80,14.286966323852539,1219.8837890625
81,14.435155868530273,1366.7646484375
82,14.132047653198242,1083.1033935546875
83,14.107599258422852,1062.9605712890625
84,14.199603080749512,1140.7332763671875
85,14.090251922607422,1048.916015625
86,14.283334732055664,1216.478271484375
88,14.34904670715332,1279.345458984375
89,14.015667915344238,990.5506591796875
90,14.379121780395508,1309.2813720703125
91,14.215210914611816,1154.4774169921875
92,14.316736221313477,1248.074951171875
93,14.371191024780273,1301.3389892578125
94,14.150362014770508,1098.4554443359375
95,14.264803886413574,1199.293212890625
96,14.331902503967285,1262.6502685546875
97,14.358234405517578,1288.486083984375
98,14.359049797058105,1289.2333984375
99,14.13907241821289,1088.9649658203125
100,14.253812789916992,1189.22412109375
101,14.086163520812988,1045.6156005859375
103,14.094571113586426,1052.410888671875
104,14.1961669921875,1137.731689453125
105,14.138644218444824,1088.6072998046875
106,14.304636001586914,1236.5362548828125
107,14.27223014831543,1206.1336669921875
108,14.299999237060547,1232.1302490234375
109,14.27452278137207,1208.265380859375
110,14.215749740600586,1154.9666748046875
111,14.256697654724121,1191.8524169921875
112,14.18404769897461,1127.192626953125
113,14.302009582519531,1234.070556640625
114,14.252912521362305,1188.4071044921875
115,14.104025840759277,1060.08251953125
116,14.296835899353027,1229.156005859375
117,14.34625244140625,1276.6707763671875
118,14.285316467285156,1218.350341796875
119,14.230956077575684,1168.5472412109375
120,14.308436393737793,1240.1031494140625
121,14.222156524658203,1160.662841796875
122,14.303863525390625,1235.8070068359375
124,14.25218677520752,1187.7158203125
125,14.13223648071289,1083.25
126,14.274402618408203,1208.18408203125
127,14.304901123046875,1236.76318359375
128,14.224380493164062,1162.6390380859375
129,14.049717903137207,1016.769287109375
130,14.215536117553711,1154.7935791015625
131,14.267290115356445,1201.5927734375
132,14.252983093261719,1188.441162109375
133,14.298614501953125,1230.827880859375
134,14.242195129394531,1178.66162109375
135,14.212747573852539,1152.330322265625
136,14.105534553527832,1061.2764892578125
137,14.239852905273438,1176.5279541015625
138,14.193305015563965,1135.268798828125
139,14.167119979858398,1112.66162109375
140,14.205801010131836,1146.2060546875
141,14.058282852172852,1023.4852294921875
142,14.164802551269531,1110.6693115234375
144,14.249946594238281,1185.675537109375
145,14.191976547241211,1134.0859375
146,14.223991394042969,1162.3470458984375
147,14.273998260498047,1207.7779541015625
148,14.089599609375,1048.3677978515625
149,14.128654479980469,1080.279541015625
151,14.247987747192383,1183.9127197265625
152,14.214604377746582,1153.9912109375
153,14.146635055541992,1095.319091796875
154,14.272101402282715,1205.9847412109375
155,14.251575469970703,1187.20458984375
156,14.230964660644531,1168.5264892578125
157,14.047224044799805,1014.8366088867188
158,14.246116638183594,1182.21923828125
159,14.229795455932617,1167.4796142578125
160,14.233491897583008,1170.839599609375
161,14.230884552001953,1168.436279296875
162,14.137991905212402,1088.075439453125
163,14.245948791503906,1182.017578125
164,14.211502075195312,1151.173828125
166,14.189775466918945,1132.1978759765625
167,14.214471817016602,1153.809326171875
168,14.238367080688477,1175.2130126953125
169,14.184394836425781,1127.5352783203125
171,14.263531684875488,1198.0885009765625
172,14.052852630615234,1019.2184448242188
174,14.107824325561523,1063.174072265625
175,14.172417640686035,1117.2098388671875
176,14.137788772583008,1087.9007568359375
179,14.17750358581543,1121.548583984375
180,14.154348373413086,1101.7987060546875
181,14.069539070129395,1032.35546875
182,14.193412780761719,1135.36083984375
183,14.261567115783691,1196.3116455078125
184,14.032402038574219,1003.3673706054688
185,14.135377883911133,1085.889404296875
186,14.160198211669922,1106.7813720703125
187,14.075252532958984,1036.8955078125
188,14.215028762817383,1154.33154296875
189,14.152779579162598,1100.4996337890625
190,14.026514053344727,998.8255004882812
191,14.194452285766602,1136.2099609375
192,14.111289978027344,1066.000244140625
194,14.073543548583984,1035.53564453125
195,14.17219352722168,1116.9971923828125
196,14.140456199645996,1090.0811767578125
197,14.142390251159668,1091.766357421875
198,14.126555442810059,1078.5673828125
199,14.089385986328125,1048.2047119140625
200,14.06993293762207,1032.6883544921875
201,14.17905044555664,1122.8837890625
202,14.200447082519531,1141.4630126953125
203,14.218191146850586,1157.12744140625
204,14.028626441955566,1000.442626953125
206,14.061894416809082,1026.3243408203125
209,14.136716842651367,1087.01708984375
210,14.111241340637207,1065.9365234375
211,14.11167049407959,1066.3094482421875
213,14.064895629882812,1028.6953125
214,14.142849922180176,1092.124755859375
215,14.065136909484863,1028.890625
216,14.106304168701172,1061.876220703125
217,14.160799026489258,1107.2447509765625
218,14.08515453338623,1044.8050537109375
220,14.107270240783691,1062.72314453125
221,14.089815139770508,1048.5535888671875
222,14.100516319274902,1057.20166015625
223,14.117310523986816,1070.9189453125
224,14.087469100952148,1046.68212890625
225,14.108031272888184,1063.3497314453125
226,14.05739974975586,1022.811279296875
227,14.08317756652832,1043.24462890625
228,14.020393371582031,994.1648559570312
229,14.16085433959961,1107.330810546875
230,14.129807472229004,1081.2115478515625
231,14.084909439086914,1044.641357421875
232,14.141571998596191,1091.07763671875
233,14.165953636169434,1111.6585693359375
234,14.204258918762207,1144.8402099609375
235,14.094783782958984,1052.5963134765625
236,14.047396659851074,1014.987548828125
239,14.05379581451416,1019.9635009765625
241,14.06673812866211,1030.1646728515625
242,14.03868579864502,1008.2279663085938
