Yang,z,N200,logM200,smasso,smasso_err,smassi,smassi_err,sfro,sfro_err,sfri,sfri_err,smasso_quenching,smasso_quenching_err,smassi_quenching,smassi_quenching_err,sfro_quenching,sfro_quenching_err,sfri_quenching,sfri_quenching_err,smasso_sf,smasso_sf_err,smassi_sf,smassi_sf_err,sfro_sf,sfro_sf_err,sfri_sf,sfri_sf_err,smasso_elliptical,smasso_elliptical_err,smassi_elliptical,smassi_elliptical_err,sfro_elliptical,sfro_elliptical_err,sfri_elliptical,sfri_elliptical_err,smasso_spiral,smasso_spiral_err,smassi_spiral,smassi_spiral_err,sfro_spiral,sfro_spiral_err,sfri_spiral,sfri_spiral_err
435,0.083,23,14.54,12.029046238595916,0.0016527535230783934,12.277004345428155,0.0005915129696432251,1.1204747193474174,0.008255095358111635,1.5040979386943134,0.0026746828324839818,12.007978788898596,0.0018755112756130136,12.132216190668917,0.0009652846453336762,1.0541823041678862,0.010323422154482485,1.230847749094488,0.004999539256697284,10.704382749470453,0.0486797427968891,11.729568401095891,0.004009186727868801,0.2714295908434876,0.11721152418133693,1.173389022251026,0.013918756303966823,11.950538697220216,0.002173194481727084,12.03164013365727,0.0010454775538920622,1.0494027861624005,0.011098674405444126,1.234764825877536,0.005488360822418698,11.247510698722797,0.02347673276411986,11.91210985564819,0.003090029225773178,0.29933708122994873,0.07064928488752707,1.1688742457627388,0.011855707000819423
436,0.057,21,14.02,11.872452582923122,0.003409180218990554,11.953826164722967,0.002322115492836295,0.9991082018747376,0.013673560925928717,1.3462865403902773,0.013032036115476634,11.682692788023582,0.006678079338620913,11.867397807255918,0.003589819179492425,0.931462069735599,0.02305236312826899,1.3216797193319179,0.017980674582192515,11.421441816716637,0.015698129609653434,11.210200364085761,0.013667302500777447,0.1581827315397452,0.10227664550956508,0.08731241995364887,0.08724216898965886,11.688117203413775,0.005553340639108769,11.693175338539767,0.00457250137853273,0.9357166948044712,0.01922134982978146,1.3206108861488857,0.01880898692826349,11.41136443077686,0.024017039607532657,11.608274216398463,0.01173078790248589,0.13204468290371926,0.16222203189370404,0.10524916689580485,0.0892825621756813
439,0.047,24,14.06,12.05747790306857,0.0021582866234173014,11.808073261786204,0.0014173771970514629,1.0395837904489058,0.009216611525038965,1.2185726433051602,0.006388520011334806,11.97305869726352,0.003859902502562297,11.243991740493783,0.005043217241271868,0.964623143424473,0.014805384566939311,0.8906725903453893,0.021779880753109722,11.304608769486133,0.006871776850099453,11.669699326274916,0.002779082059167642,0.2396914505717506,0.07549126978360121,0.9428466602954281,0.015303477885511133,11.939330357539466,0.004782646942073736,11.2541558451459,0.006656983262169403,0.970799907379992,0.016827953987628125,1.0341873290560704,0.026188101645765172,11.434382923725806,0.004653756593780524,11.665823269829266,0.002646147429981869,0.20534805068841525,0.06466201530360272,0.7575789153739543,0.012839122435869184
440,0.072,24,14.51,11.929840675658665,0.003314815975663986,12.21247621607236,0.0011731564036164008,0.8735382955018604,0.009348198162857098,1.3493872005006817,0.007834282528081563,11.912250676740229,0.004058251939678145,12.046650368973982,0.002018507150053493,0.853476908049606,0.011399568032695217,1.3157749893030173,0.012585338912762962,10.528556862179903,0.029419179384397715,11.714066215035825,0.006909242379155955,-0.4718771321740882,0.20333414887081583,0.22140225424571428,0.030916566645031375,11.836166299850587,0.004356716432722818,11.93901343493717,0.002871849373857458,0.8488638059870036,0.011232081437133468,1.1961663269695946,0.01891923411053931,11.217681530186896,0.051223455476434566,11.88200983614244,0.003906982105721198,-0.38427667388839526,0.17198147988108178,0.8225604277410054,0.014644753859375605
441,0.08,23,14.1,11.823400363323545,0.0024091199841183865,11.574428021453107,0.00373256654259705,1.1634800179399414,0.010919617502428222,0.8762768742882283,0.012598013939852406,11.751292951356861,0.003141822202336731,11.466101453100428,0.006768405175026329,1.1544241579870327,0.01308778128030443,0.8294269702019899,0.021699867288124584,11.008040983350313,0.03602614176347302,10.918340662465242,0.020827131955972897,-0.5218946577573154,0.1390709483952127,-0.1140131210633493,0.07543018460690074,11.730620249719088,0.003254640350801156,11.395577934269012,0.006985428722786947,1.1179805901468591,0.01405773446820688,0.7118841388738167,0.023829254601446876,11.107506456159175,0.0310509277303724,11.102772397329025,0.018670409432257683,0.1611505264787593,0.08845683648321497,0.3747685324016615,0.06039012324906989
445,0.034,20,13.82,11.419903415314776,0.004169811448306582,11.904571933170462,0.001652897008750645,0.9089054304808171,0.017424573768996643,1.3247258354545222,0.006150559289022914,10.966704211746698,0.02188057305408373,11.451255826947568,0.011439774250277122,0.2287184392656177,0.07272604839220768,0.5538587862574125,0.029341824061444206,11.231338136480776,0.007583473419787028,11.716070202093281,0.0025215678366943355,0.8071699306485803,0.03191426724110136,1.2440729726656878,0.010187497756473509,10.944401218199273,0.02484684947399365,11.47545457344534,0.00945401977442404,-0.06691418518326026,0.11894771792865583,0.7629012028080121,0.02715223811895441,11.243000358363693,0.0071196686214944445,11.702330227722037,0.0027579203441165877,0.8603762023516902,0.02769514684966813,1.1855020224106396,0.011689225109380091
447,0.051,25,13.96,12.02915031873024,0.00236563460561759,12.088955146748487,0.0013166763554192293,1.2752467735300796,0.007855700512102506,1.1100857872149161,0.007025521518736931,11.891630801307677,0.002702060672165759,11.897657743190237,0.002730256248234452,1.252056333770955,0.009873582100547017,0.9518898680079706,0.01641672349727555,11.462783475129232,0.038147935642581836,11.640736483382218,0.005574883154201783,-0.008772177897675999,0.08292307831163587,0.5947971590883679,0.01961010267534115,11.851615135838056,0.0033289354310660395,11.779482198901055,0.003448788284908843,1.2425914091342338,0.011433667462657301,0.8757507798717381,0.01781060218147947,11.554902588911855,0.019375865284974952,11.796207092257013,0.003974688113479183,0.13519161848000252,0.04627914676933393,0.7302268222489965,0.022641116389359024
452,0.061,28,14.17,11.949484186430237,0.0020207396966109552,12.047770452420975,0.00122816380946127,0.8894418206482749,0.008751485588440801,1.179076644499434,0.005648176103332039,11.67667982563766,0.0030054903116953032,11.871665277022405,0.002436017864360438,0.8573244686946114,0.012953513412245033,1.0510763609026228,0.011339669221661536,11.618265816558623,0.012747166660326872,11.570677029049373,0.005491189780544612,-0.2575624747202813,0.05711895906514165,0.5860738920073206,0.019379339980339517,11.657784926715049,0.002891562021605654,11.808310501014011,0.0025740111277308573,0.8463798447419174,0.011934987301271755,1.0104079168463358,0.011686895686029517,11.638918575855659,0.01448030749895061,11.674976546838511,0.0051336425766406206,-0.13560163283476695,0.13073217440352264,0.6867185558464041,0.020374325987620526
458,0.041,26,14.01,11.765685983344058,0.002448342014967174,11.944204532123532,0.001801623738443411,0.5813114696881133,0.02017711688881502,0.8009549893967711,0.01259989530071309,11.492725951781457,0.005766466227810237,11.23770517982045,0.009398527439120912,0.358156419348052,0.047186696496720124,0.04780580451233891,0.07798242032412146,11.434645627505502,0.008666477762855201,11.84915663519969,0.0029147493433703815,0.1853235743036883,0.06469773918820668,0.7165958480573428,0.019787386275605647,11.401749127406259,0.006654601133426978,11.11490923759733,0.01801400581475152,0.3934676945765032,0.049373896676342795,0.3458737775880611,0.15764515122588674,11.519593132627046,0.0074878425845641295,11.874567129477446,0.002505389798630976,0.12678212351553514,0.05479724573299439,0.6134095619857185,0.013239442431075102
460,0.084,20,14.12,11.919034128498039,0.004707342656494056,11.69379361073784,0.0014963830889260237,1.2272323174236277,0.013120592173400291,1.2132921372300638,0.00578055337997053,11.86841104799816,0.005932612092858081,11.559390973718632,0.0022921302147163552,1.1796685135220506,0.016441716146497705,0.8659462330741219,0.00863220678509819,10.96053268605379,0.05990882249164909,11.118947475261992,0.012108706388954267,0.2431597113024198,0.1689232349655887,0.9541111806635372,0.0364983200368116,11.902005194033363,0.005681825021336046,11.521023453347949,0.0036631503988598124,1.1727609828943986,0.01708870245704924,0.7667734143680367,0.014115537541354636,10.503950645152383,0.0463039866359905,11.2099529770933,0.004859606031355057,0.29866498621820137,0.12037067650303263,1.0210510325426256,0.01680987726928405
