Yang,RA,DEC,z,logM200,R200,thetaR200,N200
2,240.5602,16.1113,0.036,15.29,2.01,0.7805280000946548,525
4,247.1149,40.8317,0.03,14.66,1.24,0.5738912548942048,217
5,247.1633,39.4674,0.03,14.81,1.4,0.6479417482558284,277
6,167.6936,28.5374,0.033,14.6,1.18,0.49819805683532675,167
7,351.1194,14.6251,0.042,14.51,1.1,0.3686850142379113,106
8,239.5372,27.3133,0.09,15.1,1.71,0.28296690747680314,183
9,241.5673,18.1483,0.038,14.48,1.08,0.3981891583067486,143
10,223.2712,16.724,0.045,14.22,0.89,0.2794612761979019,106
11,10.4693,-9.3997,0.056,14.96,1.55,0.39617937880054865,156
12,14.206,-0.746,0.044,14.54,1.13,0.3624366190336657,95
14,228.1091,7.4642,0.045,14.49,1.09,0.34226159079850416,96
15,215.5357,48.4549,0.072,14.78,1.35,0.27348098056572245,90
16,230.7995,8.6412,0.034,14.65,1.23,0.5046049348800368,115
17,216.7229,16.7528,0.053,14.55,1.14,0.30682927158814727,107
18,168.0412,40.5435,0.075,14.39,0.99,0.1931904159691066,41
20,241.1981,17.5749,0.034,14.92,1.51,0.6194742975122366,257
21,230.6338,27.7129,0.073,15.27,1.96,0.39206420975198364,144
22,18.7854,0.3047,0.045,14.38,1.0,0.31400143991185203,82
23,227.7485,6.0388,0.079,15.21,1.87,0.34799267338338624,132
24,229.2044,7.0289,0.035,14.45,1.05,0.41892221794989415,87
25,230.2953,30.6325,0.078,14.7,1.26,0.23721889281701194,88
26,258.2267,64.0514,0.081,15.14,1.77,0.32199760396036503,150
27,169.1316,29.2563,0.047,14.29,0.93,0.28027753333944255,76
28,190.3042,18.5539,0.072,14.73,1.3,0.26335203818679204,87
29,159.7771,5.1123,0.069,14.59,1.16,0.2443554436739453,74
30,329.3637,-7.7877,0.058,14.45,1.05,0.2597050951952526,86
31,234.9381,21.7405,0.041,14.58,1.17,0.4011962318405245,109
32,358.5345,-10.3766,0.076,14.81,1.38,0.2660522590993051,78
34,207.2288,26.6148,0.063,14.82,1.4,0.3206868990652629,95
35,164.634,1.6037,0.04,14.05,0.78,0.27379461014947987,50
36,202.7342,-1.8838,0.086,14.82,1.38,0.23787019507239857,77
37,241.5638,15.6789,0.04,15.17,1.83,0.6423642936809794,221
38,173.6865,49.0815,0.033,14.34,0.97,0.4095357168729535,98
39,229.8875,20.8222,0.04,14.22,0.89,0.3124066781849778,55
40,223.6396,18.6078,0.058,14.53,1.11,0.27454541270793154,81
41,117.0449,18.552,0.047,14.4,1.01,0.30438744488819197,59
42,244.4189,35.0411,0.031,14.6,1.19,0.5336071775865409,107
44,229.6038,4.5283,0.037,14.38,1.0,0.37824407053321046,61
45,184.4023,3.639,0.077,15.04,1.64,0.31242213138968294,100
46,127.1567,30.4313,0.05,14.69,1.26,0.3582244353514956,83
47,241.306,16.4602,0.044,15.15,1.8,0.5773326848115375,232
48,14.0058,-10.0165,0.055,14.5,1.09,0.2833491555543597,72
49,176.8442,55.7178,0.051,14.66,1.24,0.34603060644775535,83
50,214.3435,2.0353,0.054,14.5,1.09,0.28826865902451115,69
51,214.4332,8.196,0.057,14.43,1.04,0.26145302526569925,69
52,176.3217,33.3532,0.032,14.1,0.81,0.35226770599516655,67
53,208.2782,5.1703,0.079,14.68,1.24,0.23075449265825546,70
54,203.9791,59.2357,0.071,14.86,1.43,0.29342857371496556,108
57,180.0944,56.2254,0.064,14.62,1.2,0.2709097212961841,69
58,226.1477,28.4716,0.058,14.45,1.05,0.2597050951952526,62
61,173.2294,14.4326,0.081,14.83,1.4,0.2546873654850084,61
62,195.6601,-2.5423,0.083,14.62,1.18,0.2099983446393497,57
64,146.571,43.1473,0.073,14.12,0.81,0.16202653064492586,24
65,230.4156,7.7193,0.045,14.57,1.15,0.3611016558986298,74
66,197.7928,39.2503,0.072,14.79,1.36,0.27550676904150856,55
68,205.4739,26.3809,0.075,14.46,1.05,0.20489891299445118,39
69,146.7111,54.4917,0.047,14.45,1.06,0.319456104477983,66
70,167.1201,44.0939,0.059,14.38,1.0,0.24341554268857088,66
71,200.0644,33.1644,0.036,14.41,1.02,0.3960888294817581,57
73,245.6562,37.9252,0.031,14.53,1.13,0.5067025699294517,75
74,208.0007,46.3667,0.063,14.39,1.0,0.22906207076090207,53
77,177.0543,54.6677,0.06,14.26,0.9,0.21566018916647173,54
79,170.4099,2.8163,0.049,14.3,0.94,0.27237914962267157,49
80,228.803,4.3649,0.097,14.68,1.24,0.1918994830415145,43
82,168.8992,54.5174,0.07,14.57,1.14,0.23698853980390794,57
83,227.9499,4.502,0.036,14.4,1.02,0.3960888294817581,54
85,196.0038,19.2772,0.064,14.6,1.17,0.26413694812182326,54
86,116.5758,18.3162,0.052,14.26,0.91,0.24934769848831706,49
87,174.0717,55.0578,0.057,14.02,0.75,0.1885478578326485,44
88,233.1359,4.7342,0.038,14.04,0.77,0.2838940900033782,38
89,170.7403,1.0701,0.074,14.3,0.93,0.18372591144204498,38
90,122.4772,35.1596,0.083,14.67,1.23,0.2188965949236491,41
